PLAYER_ID,PLAYER,SG_T,SG_P,SG_ATG,SP_APP,SG_OTT,Average_Score,ROUNDS,GIR_%,FWY_%,Drive_Distance,VICTORIES,TOP 10
27770,Camilo Villegas,-1.988,-0.72,-0.057,-0.251,-0.96,71.7,61,66.28,51.85,284.9,0,0
22371,Aaron Baddeley,-0.499,0.487,0.404,-0.359,-1.031,70.76,76,63.39,54.72,283.4,0,0
29478,Kevin Kisner,-1.691,0.105,-0.414,-0.65,-0.732,71.81,57,62.35,60.70137096774194,282.8,0,0
27649,Brandt Snedeker,-1.164,0.147,-0.054,-0.697,-0.561,71.56,61,63.7,66.07,281.0,0,0
52372,Cameron Champ,-0.16,0.31,-0.637,-0.716,0.883,70.4,60,68.32,60.70137096774194,322.8,0,0
60767,Blaine Hale Jr.,-1.388,-0.187,-0.661,-0.157,-0.384,71.44,55,65.28,60.70137096774194,307.1,0,0
33968,Thorbjørn Olesen,0.101,0.251,0.2,0.022,-0.372,70.63,48,63.77,60.70137096774194,302.1,0,0
47663,Kevin Dougherty,-0.539,-0.414,-0.372,-0.518,0.766,70.72,65,68.82,60.70137096774194,316.8,0,0
34255,Joseph Bramlett,0.216,-0.472,0.23,0.103,0.355,69.89,87,69.91,60.70137096774194,311.0,0,0
45609,Tyler Duncan,-0.625,-0.224,-0.124,-0.541,0.264,70.58,74,67.62,60.70137096774194,297.6,0,0
51070,Vincent Norrman,-1.374,-0.954,-0.322,-0.313,0.214,71.73,49,68.25,55.36,311.0,0,0
48319,Tom Whitney,-0.602,-0.637,-0.392,0.231,0.197,70.66,71,69.2,60.70137096774194,296.5,0,0
23320,Ryan Palmer,-0.875,-0.414,-0.111,-0.475,0.125,71.02,45,63.23,53.57,298.8,0,0
24024,Zach Johnson,0.318,0.42,0.117,-0.121,-0.099,69.96,52,66.2,69.64,284.1,0,0
29221,Webb Simpson,-0.144,-0.299,0.576,-0.321,-0.1,70.78,51,61.76,58.18,300.2,0,0
56149,Wilson Furr,-0.55,-0.024,-0.025,-0.399,-0.102,70.9,59,66.47,60.70137096774194,311.7,0,0
32366,Kevin Chappell,-0.299,0.058,0.063,-0.307,-0.112,70.16,56,68.25,60.70137096774194,300.7,0,0
27330,Josh Teater,-1.421,-0.862,-0.077,-0.36,-0.122,71.38,55,68.38,60.70137096774194,298.1,0,0
50493,Justin Suh,-0.324,0.589,-0.187,-0.523,-0.203,70.35,77,67.04,60.70137096774194,300.2,0,0
60004,Jacob Bridgeman,0.557,0.584,0.14,0.084,-0.251,69.32,82,68.38,50.0,300.6,0,0
48699,Callum Tarren,-1.247,-0.629,-0.182,-0.092,-0.344,71.11,73,66.43,60.70137096774194,306.9,0,0
33486,Roger Sloan,0.069,0.181,0.139,0.098,-0.348,70.35,69,67.34,60.70137096774194,293.2,0,0
55789,Taylor Montgomery,-0.704,0.866,0.224,-0.442,-1.352,70.71,58,60.49,42.86,289.7,0,0
